15,20.019167,1734915410
21,20.019167,1734915410
37,20.019167,1734915410
132,20.019167,1734915410
129,20.019167,1734915410
142,20.019167,1734915410
15,20.221813,1734915411
21,20.221813,1734915412
15,20.471285,1734915412
37,20.221813,1734915413
15,20.659122,1734915413
21,20.471285,1734915414
132,20.221813,1734915414
15,20.824138,1734915414
142,20.221813,1734915415
15,21.071551,1734915415
21,20.659122,1734915416
37,20.471285,1734915416
15,21.292842,1734915416
15,21.477159,1734915417
21,20.824138,1734915418
132,20.471285,1734915418
15,21.559781,1734915418
37,20.659122,1734915419
15,21.628057,1734915419
21,21.071551,1734915420
142,20.471285,1734915420
15,21.419329,1734915420
